id,voc_type_cd,voc_type_nm,voc_cnt,day_cnt
E1000001,6,청구 수/미납,1,1
E1000002,9,해지,1,1
E1000003,12,업무협조,1,1
E1000004,7,AS,1,1
E1000004,8,품질,1,1
E1000005,9,해지,1,1
E1000006,6,청구 수/미납,1,1
E1000007,9,해지,1,1
E1000008,1,가입,2,2
E1000008,4,이용,1,1
E1000009,6,청구 수/미납,1,1
E1000010,9,해지,1,1
E1000011,12,업무협조,1,1
E1000012,3,채널,6,5
E1000013,9,해지,1,1
E1000014,12,업무협조,1,1
E1000015,8,품질,1,1
E1000016,1,가입,1,1
E1000017,12,업무협조,1,1
E1000018,1,가입,1,1
E1000019,9,해지,1,1
E1000020,1,가입,1,1
E1000021,4,이용,2,2
E1000022,6,청구 수/미납,1,1
E1000023,12,업무협조,1,1
E1000024,10,혜택,1,1
E1000025,5,변경/조회,1,1
E1000025,9,해지,1,1
E1000026,6,청구 수/미납,2,2
E1000026,12,업무협조,1,1
E1000027,6,청구 수/미납,1,1
E1000027,12,업무협조,1,1
E1000028,5,변경/조회,4,2
E1000028,6,청구 수/미납,1,1
E1000028,12,업무협조,2,2
E1000029,12,업무협조,1,1
E1000030,1,가입,1,1
E1000030,9,해지,1,1
E1000031,9,해지,1,1
E1000032,8,품질,1,1
E1000033,6,청구 수/미납,1,1
E1000034,7,AS,1,1
E1000035,9,해지,2,1
E1000036,5,변경/조회,1,1
E1000037,9,해지,1,1
E1000038,6,청구 수/미납,1,1
E1000039,6,청구 수/미납,1,1
E1000039,12,업무협조,1,1
E1000040,8,품질,1,1
E1000041,4,이용,1,1
E1000042,12,업무협조,1,1
E1000043,9,해지,1,1
E1000044,6,청구 수/미납,1,1
E1000045,4,이용,1,1
E1000046,10,혜택,1,1
E1000047,8,품질,2,2
E1000048,10,혜택,1,1
E1000049,9,해지,1,1
E1000050,1,가입,1,1
E1000050,12,업무협조,1,1
E1000051,6,청구 수/미납,1,1
E1000052,8,품질,1,1
E1000052,9,해지,1,1
E1000053,10,혜택,1,1
E1000054,3,채널,1,1
E1000054,4,이용,1,1
E1000054,5,변경/조회,1,1
E1000054,9,해지,1,1
E1000055,5,변경/조회,1,1
E1000055,6,청구 수/미납,1,1
E1000055,12,업무협조,1,1
E1000056,8,품질,1,1
E1000057,2,개통,1,1
E1000057,5,변경/조회,1,1
E1000058,1,가입,1,1
E1000059,5,변경/조회,1,1
E1000060,12,업무협조,1,1
E1000061,9,해지,2,1
E1000062,12,업무협조,1,1
E1000063,4,이용,1,1
E1000064,6,청구 수/미납,1,1
E1000065,5,변경/조회,2,2
E1000066,12,업무협조,1,1
E1000067,1,가입,1,1
E1000068,1,가입,1,1
E1000068,12,업무협조,1,1
E1000069,12,업무협조,1,1
E1000070,6,청구 수/미납,1,1
E1000071,9,해지,4,3
E1000071,12,업무협조,1,1
E1000072,7,AS,1,1
E1000072,9,해지,1,1
E1000073,5,변경/조회,1,1
E1000074,4,이용,3,2
E1000075,9,해지,1,1
E1000076,6,청구 수/미납,1,1
E1000077,9,해지,1,1
E1000078,5,변경/조회,1,1
E1000079,10,혜택,1,1
E1000080,5,변경/조회,1,1
E1000080,6,청구 수/미납,1,1
E1000081,8,품질,1,1
E1000082,6,청구 수/미납,1,1
E1000083,8,품질,2,1
E1000084,6,청구 수/미납,1,1
E1000085,4,이용,1,1
E1000085,6,청구 수/미납,3,3
E1000085,9,해지,2,1
E1000085,12,업무협조,1,1
E1000086,4,이용,1,1
E1000087,9,해지,1,1
E1000088,6,청구 수/미납,1,1
E1000089,6,청구 수/미납,1,1
E1000090,1,가입,1,1
E1000091,8,품질,1,1
E1000091,12,업무협조,1,1
E1000092,1,가입,1,1
E1000093,7,AS,1,1
E1000094,9,해지,1,1
E1000095,12,업무협조,1,1
E1000096,4,이용,1,1
E1000097,9,해지,1,1
E1000097,12,업무협조,1,1
E1000098,5,변경/조회,1,1
E1000099,4,이용,1,1
E1000100,9,해지,1,1
E1000101,4,이용,1,1
E1000102,7,AS,1,1
E1000102,8,품질,1,1
E1000103,10,혜택,1,1
E1000104,7,AS,1,1
E1000105,8,품질,2,1
E1000106,7,AS,1,1
E1000106,8,품질,1,1
E1000106,9,해지,1,1
E1000107,12,업무협조,1,1
E1000108,1,가입,1,1
E1000109,12,업무협조,1,1
E1000110,8,품질,1,1
E1000111,5,변경/조회,1,1
E1000112,6,청구 수/미납,1,1
E1000113,8,품질,1,1
E1000114,1,가입,1,1
E1000115,6,청구 수/미납,1,1
E1000116,6,청구 수/미납,1,1
E1000117,5,변경/조회,1,1
E1000117,9,해지,1,1
E1000118,6,청구 수/미납,1,1
E1000119,6,청구 수/미납,2,1
E1000120,6,청구 수/미납,1,1
E1000121,9,해지,1,1
E1000122,12,업무협조,1,1
E1000123,9,해지,2,1
E1000124,9,해지,1,1
E1000125,12,업무협조,1,1
E1000126,6,청구 수/미납,1,1
E1000127,4,이용,1,1
E1000127,5,변경/조회,1,1
E1000128,6,청구 수/미납,1,1
E1000129,9,해지,1,1
E1000130,5,변경/조회,1,1
E1000130,9,해지,2,1
E1000130,12,업무협조,2,1
E1000131,4,이용,1,1
E1000132,6,청구 수/미납,1,1
E1000133,4,이용,1,1
E1000133,5,변경/조회,1,1
E1000134,6,청구 수/미납,1,1
E1000134,12,업무협조,1,1
E1000135,5,변경/조회,2,2
E1000136,9,해지,1,1
E1000137,8,품질,1,1
E1000138,6,청구 수/미납,1,1
E1000139,6,청구 수/미납,1,1
E1000140,7,AS,1,1
E1000140,8,품질,3,1
E1000141,9,해지,1,1
E1000142,1,가입,1,1
E1000143,9,해지,1,1
E1000144,9,해지,1,1
E1000145,5,변경/조회,2,1
E1000146,8,품질,1,1
E1000147,9,해지,1,1
E1000148,6,청구 수/미납,1,1
E1000149,7,AS,1,1
E1000149,8,품질,1,1
E1000150,3,채널,1,1
E1000150,7,AS,1,1
E1000150,9,해지,2,1
E1000151,7,AS,1,1
E1000152,1,가입,1,1
E1000153,9,해지,1,1
E1000154,4,이용,1,1
E1000154,12,업무협조,1,1
E1000155,5,변경/조회,1,1
E1000156,8,품질,1,1
E1000157,2,개통,2,1
E1000157,7,AS,1,1
E1000158,9,해지,1,1
E1000159,5,변경/조회,1,1
E1000160,8,품질,1,1
E1000161,12,업무협조,1,1
E1000162,1,가입,1,1
E1000163,6,청구 수/미납,1,1
E1000164,12,업무협조,1,1
E1000165,9,해지,1,1
E1000165,12,업무협조,1,1
E1000166,4,이용,1,1
E1000167,6,청구 수/미납,1,1
E1000168,2,개통,1,1
E1000169,7,AS,1,1
E1000170,4,이용,1,1
E1000171,5,변경/조회,1,1
E1000171,6,청구 수/미납,1,1
E1000171,9,해지,1,1
E1000172,6,청구 수/미납,1,1
E1000173,12,업무협조,1,1
E1000174,3,채널,1,1
E1000175,5,변경/조회,1,1
E1000175,12,업무협조,1,1
E1000176,5,변경/조회,1,1
E1000176,6,청구 수/미납,1,1
E1000177,6,청구 수/미납,1,1
E1000178,5,변경/조회,1,1
E1000178,9,해지,1,1
E1000179,9,해지,1,1
E1000179,12,업무협조,1,1
E1000180,9,해지,1,1
E1000181,1,가입,1,1
E1000181,4,이용,1,1
E1000181,8,품질,2,1
E1000181,12,업무협조,2,1
E1000182,6,청구 수/미납,1,1
E1000183,5,변경/조회,1,1
E1000184,8,품질,2,2
E1000184,12,업무협조,2,2
E1000185,9,해지,1,1
E1000186,2,개통,1,1
E1000187,9,해지,2,2
E1000187,12,업무협조,2,2
E1000188,5,변경/조회,1,1
E1000189,7,AS,1,1
E1000190,9,해지,1,1
E1000191,6,청구 수/미납,2,1
E1000192,5,변경/조회,2,1
E1000193,12,업무협조,1,1
E1000194,3,채널,1,1
E1000194,5,변경/조회,2,1
E1000194,12,업무협조,1,1
E1000195,8,품질,1,1
E1000195,12,업무협조,1,1
E1000196,9,해지,2,2
E1000196,12,업무협조,1,1
E1000197,1,가입,1,1
E1000198,9,해지,1,1
E1000199,5,변경/조회,1,1
E1000200,4,이용,1,1
E1000201,4,이용,1,1
E1000202,5,변경/조회,1,1
E1000202,6,청구 수/미납,1,1
E1000203,1,가입,1,1
E1000204,8,품질,1,1
E1000205,12,업무협조,1,1
E1000206,9,해지,2,2
E1000207,8,품질,1,1
E1000208,6,청구 수/미납,1,1
E1000209,2,개통,1,1
E1000209,5,변경/조회,1,1
E1000210,12,업무협조,1,1
E1000211,12,업무협조,2,1
E1000212,8,품질,1,1
E1000212,12,업무협조,1,1
E1000213,4,이용,1,1
E1000213,12,업무협조,1,1
E1000214,5,변경/조회,1,1
E1000215,5,변경/조회,1,1
E1000216,5,변경/조회,2,2
E1000217,5,변경/조회,1,1
E1000217,6,청구 수/미납,1,1
E1000218,12,업무협조,1,1
E1000219,7,AS,1,1
E1000219,9,해지,1,1
E1000220,5,변경/조회,2,1
E1000220,6,청구 수/미납,1,1
E1000221,4,이용,1,1
E1000222,4,이용,1,1
E1000222,5,변경/조회,2,1
E1000223,5,변경/조회,1,1
E1000224,9,해지,4,2
E1000225,5,변경/조회,1,1
E1000226,9,해지,1,1
E1000227,12,업무협조,1,1
E1000228,5,변경/조회,1,1
E1000229,9,해지,1,1
E1000229,12,업무협조,1,1
E1000230,9,해지,1,1
E1000231,8,품질,1,1
E1000232,5,변경/조회,3,1
E1000232,12,업무협조,1,1
E1000233,6,청구 수/미납,1,1
E1000234,4,이용,1,1
E1000234,5,변경/조회,1,1
E1000235,5,변경/조회,1,1
E1000236,12,업무협조,1,1
E1000237,1,가입,1,1
E1000238,3,채널,1,1
E1000239,1,가입,1,1
E1000240,6,청구 수/미납,1,1
E1000241,4,이용,1,1
E1000242,8,품질,1,1
E1000243,8,품질,1,1
E1000244,1,가입,1,1
E1000245,9,해지,1,1
E1000246,11,정보보호/언론보도,1,1
E1000246,12,업무협조,1,1
E1000247,4,이용,1,1
E1000248,6,청구 수/미납,1,1
E1000249,12,업무협조,2,1
E1000250,2,개통,2,1
E1000251,9,해지,1,1
E1000252,8,품질,1,1
E1000253,5,변경/조회,1,1
E1000253,6,청구 수/미납,1,1
E1000254,5,변경/조회,2,1
E1000255,1,가입,1,1
E1000255,6,청구 수/미납,2,2
E1000256,6,청구 수/미납,1,1
E1000256,12,업무협조,1,1
E1000257,6,청구 수/미납,1,1
E1000258,11,정보보호/언론보도,1,1
E1000258,12,업무협조,2,1
E1000259,5,변경/조회,1,1
E1000260,4,이용,1,1
E1000260,9,해지,2,2
E1000261,9,해지,1,1
E1000262,1,가입,1,1
E1000263,12,업무협조,1,1
E1000264,5,변경/조회,1,1
E1000264,9,해지,1,1
E1000265,9,해지,1,1
E1000266,4,이용,1,1
E1000266,12,업무협조,1,1
E1000267,12,업무협조,1,1
E1000268,9,해지,1,1
E1000269,6,청구 수/미납,1,1
E1000270,9,해지,1,1
E1000271,12,업무협조,1,1
E1000272,12,업무협조,1,1
E1000273,3,채널,1,1
E1000273,5,변경/조회,1,1
E1000273,12,업무협조,1,1
E1000274,4,이용,1,1
E1000275,4,이용,1,1
E1000276,6,청구 수/미납,1,1
E1000276,12,업무협조,1,1
E1000277,5,변경/조회,1,1
E1000278,3,채널,1,1
E1000278,12,업무협조,1,1
E1000279,3,채널,3,1
E1000279,6,청구 수/미납,1,1
E1000280,9,해지,2,1
E1000281,9,해지,1,1
E1000282,5,변경/조회,1,1
E1000283,9,해지,1,1
E1000284,6,청구 수/미납,1,1
E1000284,9,해지,1,1
E1000285,12,업무협조,1,1
E1000286,5,변경/조회,1,1
E1000287,5,변경/조회,1,1
E1000288,5,변경/조회,1,1
E1000288,8,품질,2,2
E1000288,9,해지,2,2
E1000288,12,업무협조,1,1
E1000289,8,품질,1,1
E1000289,12,업무협조,1,1
E1000290,4,이용,1,1
E1000291,12,업무협조,1,1
E1000292,9,해지,2,2
E1000293,5,변경/조회,2,2
E1000293,6,청구 수/미납,1,1
E1000294,9,해지,1,1
E1000295,6,청구 수/미납,1,1
E1000295,12,업무협조,1,1
E1000296,7,AS,1,1
E1000296,8,품질,1,1
E1000297,5,변경/조회,1,1
E1000298,4,이용,1,1
E1000299,12,업무협조,3,1
E1000300,1,가입,1,1
E1000301,5,변경/조회,1,1
E1000301,9,해지,3,2
E1000302,12,업무협조,2,2
E1000303,6,청구 수/미납,1,1
E1000303,9,해지,1,1
E1000304,4,이용,1,1
E1000305,9,해지,1,1
E1000305,10,혜택,1,1
E1000306,8,품질,1,1
E1000306,12,업무협조,1,1
E1000307,3,채널,1,1
E1000308,5,변경/조회,1,1
E1000308,8,품질,1,1
E1000308,12,업무협조,1,1
E1000309,8,품질,1,1
E1000309,12,업무협조,1,1
E1000310,9,해지,1,1
